,qtd_filhos,tipo_renda,educacao,estado_civil,tipo_residencia,idade,tempo_emprego,possui_celular,possui_fone_comercial,possui_fone,possui_email,qt_pessoas_residencia,mau_True,sexo_M,posse_de_imovel_Y,posse_de_veiculo_Y
22,2,State servant,Higher education,Married,House / apartment,42.31232876712329,8.526027397260274,1,0,0,1,4.0,0,0,1,0
23,0,Commercial associate,Secondary / secondary special,Married,House / apartment,54.41369863013698,29.70684931506849,1,0,0,1,2.0,0,0,1,1
24,0,Pensioner,Incomplete higher,Civil marriage,Rented apartment,51.18356164383562,-1000.6657534246576,1,0,0,0,2.0,0,0,0,0
25,2,Working,Higher education,Married,House / apartment,30.12876712328767,6.271232876712329,1,0,0,1,4.0,0,0,1,0
26,0,Working,Secondary / secondary special,Single / not married,House / apartment,24.27671232876712,2.4356164383561643,1,1,0,0,1.0,0,1,1,0
27,0,Working,Secondary / secondary special,Civil marriage,House / apartment,28.63013698630137,5.69041095890411,1,0,0,0,2.0,0,1,1,1
28,0,Commercial associate,Incomplete higher,Civil marriage,Municipal apartment,28.12054794520548,8.693150684931506,1,0,1,1,2.0,0,0,1,1
29,1,State servant,Higher education,Married,House / apartment,48.56438356164384,1.9397260273972603,1,0,1,1,3.0,0,0,1,1
30,1,Working,Secondary / secondary special,Married,With parents,38.69041095890411,3.5232876712328767,1,0,0,0,3.0,0,1,1,0
31,0,Working,Higher education,Civil marriage,House / apartment,27.572602739726022,8.693150684931506,1,0,0,1,2.0,0,0,1,0
32,0,Working,Secondary / secondary special,Married,House / apartment,56.24931506849315,15.6986301369863,1,0,0,0,2.0,0,1,1,0
33,2,Commercial associate,Higher education,Married,House / apartment,40.35616438356164,8.189041095890412,1,0,0,0,4.0,0,1,0,1
34,1,Commercial associate,Secondary / secondary special,Married,House / apartment,37.47671232876712,12.03013698630137,1,0,0,1,3.0,0,0,1,0
35,0,Working,Higher education,Separated,House / apartment,36.35890410958904,1.5205479452054795,1,0,0,0,1.0,0,0,1,0
36,2,Working,Secondary / secondary special,Married,With parents,35.23013698630137,11.112328767123287,1,0,1,0,4.0,0,1,1,1
37,0,Commercial associate,Higher education,Separated,With parents,43.11506849315069,1.1835616438356165,1,0,0,0,1.0,0,0,0,0
38,0,Pensioner,Secondary / secondary special,Widow,House / apartment,59.37808219178082,-1000.6657534246576,1,0,0,0,1.0,0,1,1,0
39,0,Working,Secondary / secondary special,Civil marriage,House / apartment,26.457534246575342,4.273972602739726,1,1,1,0,2.0,0,0,0,0
40,0,Working,Higher education,Married,House / apartment,43.35616438356164,10.191780821917808,1,1,1,0,2.0,0,1,0,1
41,0,Working,Secondary / secondary special,Married,House / apartment,53.63013698630137,7.947945205479452,1,0,0,0,2.0,0,0,0,0
42,0,Working,Secondary / secondary special,Married,House / apartment,35.38356164383562,8.695890410958905,1,0,1,0,2.0,0,0,0,0
43,0,Pensioner,Secondary / secondary special,Married,House / apartment,62.67671232876712,-1000.6657534246576,1,0,1,1,2.0,0,0,0,1
44,0,Working,Incomplete higher,Married,Co-op apartment,50.2054794520548,3.441095890410959,1,0,0,0,2.0,0,1,0,1
45,0,Working,Higher education,Married,House / apartment,48.14520547945205,15.868493150684932,1,1,1,0,2.0,0,0,0,0
46,0,State servant,Secondary / secondary special,Married,House / apartment,57.40547945205479,23.791780821917808,1,1,1,0,2.0,0,0,0,0
47,0,Working,Higher education,Married,House / apartment,33.78904109589041,2.356164383561644,1,1,1,0,2.0,0,0,0,0
48,0,Working,Secondary / secondary special,Married,House / apartment,40.18356164383562,2.186301369863014,1,1,0,0,2.0,0,0,0,1
49,0,Working,Incomplete higher,Married,With parents,29.07123287671233,2.6904109589041094,1,0,1,0,2.0,0,1,0,1
50,0,Working,Higher education,Separated,Municipal apartment,52.27945205479452,14.364383561643836,1,0,1,0,1.0,0,0,0,0
51,0,Commercial associate,Secondary / secondary special,Married,House / apartment,38.90684931506849,5.86027397260274,1,0,1,0,2.0,0,0,0,0
52,1,Working,Secondary / secondary special,Married,House / apartment,27.27945205479452,2.5232876712328767,1,1,0,0,3.0,0,1,0,1
53,0,Working,Secondary / secondary special,Single / not married,House / apartment,43.75342465753425,24.621917808219177,1,0,0,0,1.0,0,0,0,0
54,0,State servant,Higher education,Married,With parents,28.126027397260277,4.526027397260274,1,1,1,0,2.0,0,1,0,1
55,0,Commercial associate,Secondary / secondary special,Married,Municipal apartment,40.49589041095891,6.693150684931507,1,0,1,0,2.0,0,1,0,0
56,0,Working,Secondary / secondary special,Civil marriage,House / apartment,41.47945205479452,13.194520547945206,1,0,1,0,2.0,0,0,0,0
57,0,Pensioner,Secondary / secondary special,Married,House / apartment,57.64657534246575,-1000.6657534246576,1,0,1,0,2.0,0,0,0,0
58,0,Working,Secondary / secondary special,Single / not married,Municipal apartment,44.106849315068494,5.112328767123287,1,0,1,0,1.0,0,0,0,0
59,0,Pensioner,Secondary / secondary special,Widow,House / apartment,60.44109589041096,-1000.6657534246576,1,0,0,0,1.0,0,0,0,0
60,0,Pensioner,Secondary / secondary special,Married,House / apartment,55.17808219178082,-1000.6657534246576,1,0,1,1,2.0,0,0,0,1
61,0,Working,Higher education,Married,House / apartment,57.50958904109589,12.95068493150685,1,0,1,0,2.0,0,1,0,1
62,0,Working,Higher education,Separated,House / apartment,44.391780821917806,19.45205479452055,1,0,0,0,1.0,0,0,0,0
63,0,Working,Secondary / secondary special,Married,House / apartment,51.16164383561644,14.531506849315068,1,1,1,0,2.0,0,1,0,0
64,0,Working,Secondary / secondary special,Married,House / apartment,29.45205479452055,6.693150684931507,1,0,0,0,2.0,0,1,0,1
65,0,Commercial associate,Lower secondary,Married,House / apartment,57.95890410958904,0.3561643835616438,1,0,1,0,2.0,0,1,0,0
66,0,Commercial associate,Secondary / secondary special,Married,House / apartment,53.95068493150685,14.446575342465753,1,1,1,0,2.0,0,0,0,0
67,0,Commercial associate,Higher education,Civil marriage,House / apartment,40.73150684931507,1.6054794520547946,1,1,0,0,2.0,0,1,0,1
68,0,Pensioner,Secondary / secondary special,Married,House / apartment,63.52602739726027,-1000.6657534246576,1,0,1,1,2.0,0,1,0,1
69,2,Working,Higher education,Married,House / apartment,30.90684931506849,4.778082191780822,1,1,0,1,4.0,0,0,0,0
70,1,Working,Secondary / secondary special,Married,House / apartment,25.83561643835617,3.2739726027397262,1,1,0,0,3.0,0,1,0,1
71,0,State servant,Higher education,Married,House / apartment,40.32328767123288,15.282191780821918,1,0,1,0,2.0,0,0,0,0
72,0,State servant,Higher education,Single / not married,House / apartment,30.252054794520543,8.695890410958905,1,0,0,0,1.0,0,1,0,0
73,1,Working,Higher education,Civil marriage,House / apartment,34.26301369863014,1.356164383561644,1,1,0,0,3.0,0,0,0,0
74,0,Commercial associate,Secondary / secondary special,Married,House / apartment,56.44931506849315,0.6904109589041096,1,1,1,0,2.0,0,1,0,0
75,0,Working,Incomplete higher,Married,House / apartment,38.14520547945205,6.273972602739726,1,1,1,0,2.0,0,1,0,0
76,0,Working,Secondary / secondary special,Single / not married,House / apartment,52.88767123287671,1.2712328767123289,1,1,1,0,1.0,0,0,0,0
77,0,Working,Secondary / secondary special,Single / not married,Co-op apartment,22.416438356164385,3.608219178082192,1,1,0,0,1.0,0,1,0,0
78,0,Pensioner,Secondary / secondary special,Married,House / apartment,64.32876712328768,-1000.6657534246576,1,0,0,0,2.0,0,0,0,0
79,0,State servant,Higher education,Married,House / apartment,47.32602739726028,3.6931506849315063,1,0,1,0,2.0,0,0,0,0
80,0,Working,Secondary / secondary special,Married,House / apartment,53.97808219178082,27.04109589041096,1,1,1,0,2.0,0,0,0,0
81,0,Commercial associate,Higher education,Married,House / apartment,36.276712328767125,12.194520547945206,1,0,1,0,2.0,0,0,0,0
82,0,Working,Secondary / secondary special,Married,Municipal apartment,33.23287671232877,2.186301369863014,1,0,0,0,2.0,0,0,0,0
83,2,Working,Secondary / secondary special,Married,House / apartment,26.673972602739727,7.863013698630137,1,0,0,0,4.0,0,0,0,0
84,0,Commercial associate,Secondary / secondary special,Married,House / apartment,44.37260273972603,17.035616438356165,1,1,1,0,2.0,0,1,0,1
85,0,Commercial associate,Secondary / secondary special,Married,House / apartment,32.07123287671233,3.1890410958904107,1,1,0,1,2.0,0,1,0,1
86,0,Working,Higher education,Married,House / apartment,44.10958904109589,13.531506849315068,1,0,1,0,2.0,0,0,0,0
87,0,Working,Incomplete higher,Married,House / apartment,46.26849315068493,7.361643835616438,1,0,0,0,2.0,0,0,0,0
88,2,Working,Incomplete higher,Married,House / apartment,34.14520547945205,5.945205479452055,1,1,0,0,4.0,0,1,0,1
89,1,Working,Secondary / secondary special,Separated,Co-op apartment,32.87123287671233,3.1095890410958904,1,1,0,0,2.0,0,1,0,1
90,0,Commercial associate,Secondary / secondary special,Married,House / apartment,37.23287671232877,2.6904109589041094,1,0,1,0,2.0,0,0,0,1
91,0,Commercial associate,Secondary / secondary special,Married,House / apartment,42.53972602739726,4.778082191780822,1,1,1,0,2.0,0,0,0,1
92,0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,51.54246575342466,26.70684931506849,1,0,0,0,2.0,0,0,0,0
93,0,Pensioner,Secondary / secondary special,Widow,House / apartment,55.62191780821918,-1000.6657534246576,1,0,1,0,1.0,0,0,0,0
94,0,Working,Secondary / secondary special,Married,House / apartment,41.515068493150686,8.610958904109589,1,1,1,0,2.0,0,1,0,1
95,0,Pensioner,Secondary / secondary special,Married,House / apartment,58.4,-1000.6657534246576,1,0,0,0,2.0,0,0,0,0
96,0,Working,Secondary / secondary special,Separated,House / apartment,32.00547945205479,1.8575342465753424,1,0,0,0,1.0,0,0,0,0
97,0,Working,Secondary / secondary special,Separated,House / apartment,39.38082191780822,2.186301369863014,1,0,1,0,1.0,0,0,0,0
98,0,Working,Secondary / secondary special,Married,House / apartment,23.254794520547943,5.027397260273973,1,0,1,0,2.0,0,0,0,1
99,0,Working,Secondary / secondary special,Married,House / apartment,47.62465753424657,2.4383561643835616,1,1,1,0,2.0,0,0,0,1
100,0,Commercial associate,Higher education,Married,House / apartment,36.86301369863013,7.528767123287671,1,1,1,0,2.0,0,0,0,1
101,1,Working,Secondary / secondary special,Married,House / apartment,35.26575342465753,10.191780821917808,1,1,0,0,3.0,0,0,0,0
102,2,Working,Secondary / secondary special,Married,House / apartment,33.635616438356166,2.6904109589041094,1,1,1,0,4.0,0,0,0,0
103,0,Pensioner,Secondary / secondary special,Married,House / apartment,47.58082191780822,-1000.6657534246576,1,0,0,0,2.0,0,1,0,1
104,0,Working,Secondary / secondary special,Married,House / apartment,52.20821917808219,0.2712328767123287,1,1,0,0,2.0,0,1,0,1
105,0,Working,Secondary / secondary special,Married,House / apartment,52.89041095890411,9.03013698630137,1,1,0,0,2.0,0,0,0,0
106,0,Working,Secondary / secondary special,Married,House / apartment,52.89041095890411,9.03013698630137,1,1,0,0,2.0,1,0,0,0
107,0,Working,Secondary / secondary special,Married,House / apartment,27.095890410958905,5.608219178082192,1,0,1,0,2.0,0,0,0,0
108,0,Pensioner,Secondary / secondary special,Married,House / apartment,58.701369863013696,-1000.6657534246576,1,0,1,0,2.0,0,0,0,0
109,0,Commercial associate,Secondary / secondary special,Single / not married,With parents,23.257534246575343,2.5232876712328767,1,1,0,0,1.0,0,1,0,0
110,0,Working,Secondary / secondary special,Single / not married,House / apartment,40.24383561643835,10.03013698630137,1,1,0,0,1.0,0,1,0,0
111,0,State servant,Secondary / secondary special,Married,House / apartment,51.0958904109589,29.96164383561644,1,0,1,0,2.0,0,0,0,0
112,0,Working,Higher education,Single / not married,House / apartment,27.852054794520548,4.86027397260274,1,1,0,0,1.0,0,1,0,0
113,0,Pensioner,Secondary / secondary special,Separated,House / apartment,52.57808219178082,-1000.6657534246576,1,0,0,0,1.0,0,0,0,0
114,0,Pensioner,Secondary / secondary special,Widow,House / apartment,59.41917808219178,-1000.6657534246576,1,0,1,0,1.0,0,0,0,0
115,0,Pensioner,Secondary / secondary special,Separated,House / apartment,63.83287671232877,-1000.6657534246576,1,0,1,0,1.0,0,0,0,0
116,0,Commercial associate,Higher education,Married,Municipal apartment,35.61369863013699,4.273972602739726,1,0,1,1,2.0,0,1,0,1
117,0,Working,Secondary / secondary special,Single / not married,House / apartment,25.698630136986303,4.693150684931507,1,1,1,0,1.0,0,1,0,0
118,0,Working,Secondary / secondary special,Single / not married,House / apartment,52.92054794520548,12.194520547945206,1,1,1,0,1.0,0,0,0,0
119,0,Working,Higher education,Married,House / apartment,27.087671232876712,6.778082191780822,1,0,1,0,2.0,0,0,0,0
120,0,Working,Secondary / secondary special,Married,House / apartment,36.10410958904109,3.608219178082192,1,1,0,0,2.0,0,1,0,1
121,0,Commercial associate,Higher education,Married,House / apartment,52.989041095890414,20.03835616438356,1,1,1,0,2.0,0,0,0,1
122,0,Working,Secondary / secondary special,Married,House / apartment,40.156164383561645,12.032876712328768,1,1,1,0,2.0,0,0,0,1
123,0,Commercial associate,Higher education,Married,House / apartment,37.14246575342466,1.6054794520547946,1,1,1,0,2.0,0,0,0,1
124,0,Commercial associate,Higher education,Married,House / apartment,37.14246575342466,1.6054794520547946,1,1,1,0,2.0,1,0,0,1
125,0,Working,Higher education,Single / not married,House / apartment,24.895890410958906,4.608219178082192,1,0,0,0,1.0,0,1,0,1
126,0,Working,Secondary / secondary special,Separated,House / apartment,38.67945205479453,8.695890410958905,1,0,0,0,1.0,0,1,0,0
127,2,State servant,Higher education,Married,Municipal apartment,40.83835616438356,18.7013698630137,1,1,0,0,4.0,0,1,0,1
128,0,Pensioner,Secondary / secondary special,Widow,House / apartment,60.27945205479452,-1000.6657534246576,1,0,1,0,1.0,0,0,0,0
129,0,Working,Higher education,Married,House / apartment,42.28767123287671,10.863013698630136,1,1,1,0,2.0,0,0,0,1
130,1,Working,Secondary / secondary special,Married,House / apartment,32.364383561643834,8.947945205479453,1,1,1,0,3.0,0,0,0,0
131,0,Working,Secondary / secondary special,Married,House / apartment,40.77534246575343,14.95068493150685,1,0,1,0,2.0,0,0,0,1
132,0,Working,Secondary / secondary special,Married,House / apartment,43.175342465753424,1.0246575342465754,1,1,0,0,2.0,0,0,0,0
133,0,Working,Higher education,Married,With parents,28.58904109589041,4.693150684931507,1,1,0,0,2.0,0,1,0,1
134,0,State servant,Secondary / secondary special,Civil marriage,House / apartment,35.945205479452056,15.282191780821918,1,0,0,0,2.0,0,0,0,0
135,0,Working,Secondary / secondary special,Civil marriage,House / apartment,34.61917808219178,1.1095890410958904,1,0,0,0,2.0,0,1,0,1
136,0,Commercial associate,Secondary / secondary special,Separated,House / apartment,49.12876712328767,4.027397260273973,1,0,0,0,1.0,0,0,0,0
137,0,Working,Secondary / secondary special,Married,House / apartment,43.56438356164384,0.3561643835616438,1,1,0,0,2.0,0,1,0,1
138,0,Commercial associate,Higher education,Civil marriage,House / apartment,33.64931506849315,1.1095890410958904,1,0,1,0,2.0,0,1,0,0
139,0,Commercial associate,Higher education,Married,House / apartment,27.627397260273973,1.8575342465753424,1,0,0,0,2.0,0,0,0,0
140,0,Commercial associate,Secondary / secondary special,Separated,With parents,28.153424657534245,1.523287671232877,1,1,1,0,1.0,0,1,0,1
141,0,Working,Higher education,Civil marriage,Rented apartment,39.87671232876713,3.3589041095890413,1,1,0,0,2.0,0,1,0,1
142,2,Commercial associate,Higher education,Married,House / apartment,41.49041095890411,17.534246575342465,1,1,0,0,4.0,0,1,0,1
143,0,Pensioner,Secondary / secondary special,Civil marriage,House / apartment,59.273972602739725,-1000.6657534246576,1,0,1,0,2.0,0,0,1,0
144,0,Working,Secondary / secondary special,Married,House / apartment,52.38356164383562,10.03013698630137,1,0,0,0,2.0,0,1,0,1
145,2,Commercial associate,Higher education,Married,House / apartment,34.93698630136986,1.1863013698630136,1,0,1,0,4.0,0,0,1,0
146,0,Working,Higher education,Married,House / apartment,54.67945205479453,20.45205479452055,1,0,0,0,2.0,0,1,1,1
147,2,Working,Secondary / secondary special,Married,House / apartment,29.34246575342466,6.441095890410959,1,0,0,0,4.0,1,0,1,0
148,2,Working,Secondary / secondary special,Married,House / apartment,29.34246575342466,6.441095890410959,1,0,0,0,4.0,0,0,1,0
149,0,Working,Incomplete higher,Single / not married,House / apartment,23.23835616438356,4.112328767123287,1,1,0,1,1.0,0,0,1,0
150,2,State servant,Secondary / secondary special,Married,House / apartment,34.76712328767123,12.194520547945206,1,0,0,0,4.0,0,0,1,1
151,0,Working,Secondary / secondary special,Married,House / apartment,44.04383561643836,21.03835616438356,1,0,0,0,2.0,0,1,1,1
152,1,Working,Secondary / secondary special,Married,House / apartment,45.515068493150686,8.863013698630137,1,0,0,0,3.0,0,0,1,1
153,0,State servant,Secondary / secondary special,Married,House / apartment,56.55890410958904,10.610958904109587,1,0,0,0,2.0,0,0,1,1
154,0,Pensioner,Higher education,Single / not married,House / apartment,62.64931506849315,-1000.6657534246576,1,0,0,0,1.0,0,1,1,1
155,0,Working,Incomplete higher,Married,House / apartment,46.13424657534247,10.115068493150686,1,0,0,0,2.0,0,0,1,0
156,1,Commercial associate,Secondary / secondary special,Married,House / apartment,38.19178082191781,1.6904109589041096,1,0,0,0,3.0,0,1,1,1
157,1,Working,Secondary / secondary special,Married,House / apartment,33.78082191780822,7.695890410958904,1,0,1,1,3.0,0,0,0,1
158,2,State servant,Secondary / secondary special,Married,House / apartment,33.53972602739726,5.608219178082192,1,0,0,0,4.0,0,0,1,0
159,1,State servant,Incomplete higher,Civil marriage,House / apartment,29.934246575342467,9.780821917808218,1,0,1,0,3.0,0,0,1,0
160,1,Commercial associate,Secondary / secondary special,Separated,House / apartment,35.33150684931507,1.9424657534246572,1,0,0,0,2.0,0,0,1,1
161,0,Commercial associate,Higher education,Single / not married,With parents,29.67945205479452,6.86027397260274,1,0,0,1,1.0,0,0,0,0
162,0,Working,Secondary / secondary special,Married,House / apartment,56.93698630136986,6.358904109589041,1,0,0,0,2.0,0,0,1,0
163,0,Pensioner,Secondary / secondary special,Married,House / apartment,60.6054794520548,-1000.6657534246576,1,0,1,0,2.0,0,1,1,1
164,0,Working,Secondary / secondary special,Married,House / apartment,59.96986301369863,23.2027397260274,1,1,0,0,2.0,0,0,1,0
165,0,Working,Secondary / secondary special,Married,House / apartment,50.61369863013699,8.276712328767124,1,0,0,1,2.0,0,0,1,0
166,0,Working,Secondary / secondary special,Single / not married,House / apartment,46.50684931506849,6.86027397260274,1,0,1,1,1.0,0,1,1,1
167,0,Working,Secondary / secondary special,Married,House / apartment,45.40547945205479,12.531506849315068,1,0,0,0,2.0,0,0,1,0
168,0,Working,Secondary / secondary special,Widow,House / apartment,50.37808219178082,21.45205479452055,1,0,0,0,1.0,0,0,1,0
169,0,Working,Secondary / secondary special,Married,House / apartment,45.90958904109589,9.610958904109587,1,0,0,0,2.0,0,0,1,0
170,2,Working,Secondary / secondary special,Married,Municipal apartment,34.295890410958904,3.1095890410958904,1,0,0,0,4.0,0,1,0,1
171,0,Working,Secondary / secondary special,Married,House / apartment,57.345205479452055,0.5232876712328767,1,0,1,1,2.0,0,1,1,0
172,0,Commercial associate,Secondary / secondary special,Married,House / apartment,28.23013698630137,4.608219178082192,1,0,0,0,2.0,0,0,0,0
173,2,State servant,Higher education,Married,House / apartment,37.0986301369863,10.863013698630136,1,0,0,0,4.0,0,0,1,1
174,0,Pensioner,Secondary / secondary special,Married,House / apartment,61.85753424657534,-1000.6657534246576,1,0,0,0,2.0,0,0,1,0
175,0,Pensioner,Secondary / secondary special,Married,House / apartment,60.5972602739726,-1000.6657534246576,1,0,0,0,2.0,0,0,1,1
176,0,Pensioner,Higher education,Widow,House / apartment,58.271232876712325,-1000.6657534246576,1,0,0,1,1.0,0,0,1,1
177,0,Working,Secondary / secondary special,Married,House / apartment,38.821917808219176,2.5232876712328767,1,0,0,0,2.0,0,1,1,1
178,1,Working,Secondary / secondary special,Married,House / apartment,41.08219178082192,14.6986301369863,1,0,0,1,3.0,0,0,1,1
179,2,Working,Secondary / secondary special,Married,House / apartment,35.416438356164385,5.693150684931507,1,1,1,1,4.0,0,0,1,0
180,0,Pensioner,Secondary / secondary special,Married,House / apartment,63.8,-1000.6657534246576,1,0,0,0,2.0,0,1,1,1
181,1,Working,Secondary / secondary special,Married,House / apartment,34.24657534246575,15.786301369863011,1,0,0,0,3.0,0,0,1,1
182,0,Working,Secondary / secondary special,Married,House / apartment,60.59452054794521,4.441095890410959,1,0,1,1,2.0,0,1,1,1
183,0,State servant,Secondary / secondary special,Married,House / apartment,50.68767123287671,5.112328767123287,1,0,0,0,2.0,0,0,1,0
184,0,Commercial associate,Secondary / secondary special,Married,House / apartment,58.35616438356164,1.2712328767123289,1,0,0,0,2.0,0,0,1,0
185,2,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,50.345205479452055,11.6986301369863,1,1,1,1,4.0,0,1,1,1
186,1,Working,Secondary / secondary special,Single / not married,House / apartment,46.01917808219178,18.035616438356165,1,0,1,0,2.0,0,1,0,0
187,0,Commercial associate,Secondary / secondary special,Married,House / apartment,42.74520547945205,13.865753424657534,1,0,1,0,2.0,0,0,1,0
188,0,Pensioner,Secondary / secondary special,Married,House / apartment,63.93424657534246,-1000.6657534246576,1,0,0,0,2.0,0,0,1,1
189,0,Working,Secondary / secondary special,Married,House / apartment,49.6,3.608219178082192,1,0,0,0,2.0,0,1,1,0
190,0,Pensioner,Higher education,Single / not married,House / apartment,63.56164383561644,-1000.6657534246576,1,0,1,0,1.0,0,0,1,0
191,0,Working,Lower secondary,Married,With parents,27.34520547945205,5.112328767123287,1,0,0,1,2.0,0,1,1,1
192,1,State servant,Secondary / secondary special,Married,House / apartment,48.032876712328765,22.03835616438356,1,0,0,0,3.0,0,0,1,1
193,0,Commercial associate,Incomplete higher,Married,House / apartment,59.1013698630137,5.945205479452055,1,0,0,0,2.0,0,1,1,1
194,0,Working,Secondary / secondary special,Married,House / apartment,45.224657534246575,11.865753424657534,1,0,0,0,2.0,0,1,1,1
195,0,Working,Secondary / secondary special,Married,House / apartment,55.19178082191781,2.8575342465753426,1,0,0,0,2.0,0,1,1,1
196,0,State servant,Secondary / secondary special,Married,House / apartment,54.01095890410959,22.87123287671233,1,0,0,0,2.0,0,0,1,1
197,1,Working,Incomplete higher,Married,House / apartment,37.78082191780822,15.449315068493153,1,1,1,0,3.0,0,1,1,0
198,0,Commercial associate,Secondary / secondary special,Married,House / apartment,40.87123287671233,5.112328767123287,1,0,0,0,2.0,0,0,1,0
199,0,Commercial associate,Secondary / secondary special,Married,House / apartment,55.43287671232877,17.035616438356165,1,1,1,0,2.0,0,0,1,0
200,0,Pensioner,Secondary / secondary special,Married,House / apartment,64.14520547945206,-1000.6657534246576,1,0,0,0,2.0,0,0,1,0
201,1,Commercial associate,Secondary / secondary special,Married,House / apartment,41.394520547945206,5.358904109589041,1,0,0,0,3.0,0,0,1,1
202,0,Commercial associate,Higher education,Married,House / apartment,26.008219178082197,0.3561643835616438,1,0,0,1,2.0,0,1,0,0
203,0,Pensioner,Secondary / secondary special,Married,House / apartment,62.64931506849315,-1000.6657534246576,1,0,0,0,2.0,0,0,0,0
204,1,State servant,Incomplete higher,Married,With parents,29.016438356164382,3.2739726027397262,1,0,0,0,3.0,0,1,0,1
205,2,Working,Secondary / secondary special,Separated,House / apartment,40.635616438356166,20.284931506849315,1,1,0,0,3.0,0,0,1,0
206,0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,33.92602739726028,5.526027397260274,1,1,1,0,1.0,0,1,0,1
207,1,Working,Higher education,Separated,House / apartment,26.84931506849315,5.778082191780822,1,0,0,1,2.0,0,0,1,1
208,0,Pensioner,Secondary / secondary special,Married,House / apartment,65.11780821917809,-1000.6657534246576,1,0,0,0,2.0,0,0,1,1
209,0,Commercial associate,Higher education,Married,House / apartment,37.69315068493151,6.945205479452055,1,0,0,1,2.0,0,0,1,1
210,1,Working,Higher education,Married,House / apartment,38.76164383561644,4.358904109589041,1,1,1,0,3.0,0,0,1,1
211,0,Pensioner,Secondary / secondary special,Married,House / apartment,59.87397260273973,-1000.6657534246576,1,0,0,0,2.0,0,0,1,0
212,1,Working,Secondary / secondary special,Separated,House / apartment,36.78082191780822,8.610958904109589,1,0,0,0,2.0,0,1,0,1
213,0,Working,Secondary / secondary special,Married,House / apartment,42.945205479452056,0.7753424657534247,1,0,0,1,2.0,0,0,1,0
214,1,Working,Secondary / secondary special,Married,House / apartment,30.43013698630137,0.3561643835616438,1,0,0,0,3.0,0,0,0,1
215,0,Pensioner,Secondary / secondary special,Married,House / apartment,58.95342465753425,-1000.6657534246576,1,0,0,0,2.0,0,0,1,0
216,0,Pensioner,Secondary / secondary special,Married,House / apartment,62.9041095890411,-1000.6657534246576,1,0,0,0,2.0,0,0,1,0
